"","Balisto","Bounty","Duplo","KinderBueno","KinderRiegel","KitKat","Lion","Mars","Snickers","Twix"
"Balisto",0,3.05701813677209,2.02399085352612,2.95955755175786,4.42256779810034,1.5697709523406,1.94746788733164,4.0921704759007,2.82970965008117,2.33303791388753
"Bounty",3.05701813677209,0,2.87408116572618,2.31469236578525,2.61773806478003,3.1145052476619,2.41949757833916,1.91583666236687,2.58326538258475,2.59356536167118
"Duplo",2.02399085352612,2.87408116572618,0,2.58782890103448,3.04958400639922,0.905385992367255,1.80240423213753,3.05584140487162,1.41831325554397,1.21540386581278
"KinderBueno",2.95955755175786,2.31469236578525,2.58782890103448,0,3.03429258609595,2.73883102173905,1.37269359631201,2.54702441588773,2.25288019699464,1.77684947265492
"KinderRiegel",4.42256779810034,2.61773806478003,3.04958400639922,3.03429258609595,0,3.74503181887186,3.34681604039769,1.63127759545155,2.50401632485649,2.90299724816543
"KitKat",1.5697709523406,3.1145052476619,0.905385992367255,2.73883102173905,3.74503181887186,0,1.73779634756366,3.61395050301934,1.88956336818317,1.43446959823466
"Lion",1.94746788733164,2.41949757833916,1.80240423213753,1.37269359631201,3.34681604039769,1.73779634756366,0,2.87726311458269,1.7902357311977,1.18852015843822
"Mars",4.0921704759007,1.91583666236687,3.05584140487162,2.54702441588773,1.63127759545155,3.61395050301934,2.87726311458269,0,2.09755249576609,2.60595946888347
"Snickers",2.82970965008117,2.58326538258475,1.41831325554397,2.25288019699464,2.50401632485649,1.88956336818317,1.7902357311977,2.09755249576609,0,0.961562982250996
"Twix",2.33303791388753,2.59356536167118,1.21540386581278,1.77684947265492,2.90299724816543,1.43446959823466,1.18852015843822,2.60595946888347,0.961562982250996,0
