"","crunchy","creamy","sweet","chocolaty","healthful","calorie","rich","addiction","accessible","handy","wrapping","image","commercial"
"Balisto",4.46511627906977,1.90697674418605,4.04545454545455,3.86363636363636,2.27906976744186,4.09302325581395,3.42105263157895,2.92105263157895,3.48717948717949,4,3.41463414634146,3.16279069767442,3.17948717948718
"Bounty",1.97872340425532,3.21276595744681,4.4375,3.4375,1.65957446808511,4.22916666666667,3.53488372093023,3.04878048780488,4.02272727272727,3.95744680851064,3.91111111111111,3.4468085106383,2.9047619047619
"Duplo",4.02,2.52,4.48,4.28,1.63265306122449,4.28,3.09302325581395,3.26666666666667,3.97872340425532,4.06122448979592,3.5531914893617,4.06,4.36734693877551
"KinderBueno",3.77083333333333,4.44897959183673,4.57142857142857,3.79591836734694,1.48888888888889,4.30612244897959,3.47619047619048,3.62222222222222,3.83333333333333,3.79591836734694,3.72916666666667,3.44,3
"KinderRiegel",1.7,4.06,4.7,4.52,1.6875,4.3,3.44444444444444,4.02222222222222,4.46808510638298,4.40816326530612,4,4.48,4.4468085106383
"KitKat",4.54,2.16,4.3,4.14,1.56521739130435,4.28,3.26666666666667,3.15555555555556,4.14583333333333,3.81632653061224,3.53191489361702,3.96,3.89583333333333
"Lion",4.18604651162791,3.37209302325581,4.56818181818182,4.04651162790698,1.56818181818182,4.63636363636364,3.82051282051282,3.25,3.8,4,3.55,3.4390243902439,3.20512820512821
"Mars",1.78,4.32,4.76,3.86,1.45652173913043,4.56,3.66666666666667,2.89130434782609,4.25,4.14285714285714,3.48936170212766,4.16326530612245,3.97826086956522
"Snickers",3.58333333333333,3.4375,4.44897959183673,3.95833333333333,1.42222222222222,4.60416666666667,3.6,2.93181818181818,4.34782608695652,4.25,3.27659574468085,4.38775510204082,4.34782608695652
"Twix",4.14,3.36,4.54,3.76,1.51063829787234,4.48,3.57777777777778,3.28260869565217,4.27659574468085,4.04081632653061,3.59574468085106,3.96,4.06382978723404
