Person,Product,crunchy,creamy,sweet,chocolaty,healthful,calorie,rich,addiction,accessible,handy,wrapping,image,commercial,,,,,,,,,,,
1,Balisto,5.00,2.00,3.00,3.00,3.00,4.00,4.00,3.00,3.00,3.00,2.00,3.00,3.00,,,,,,,,,,,
1,Bounty,2.00,4.00,5.00,3.00,2.00,4.00,3.00,3.00,3.00,4.00,4.00,3.00,3.00,,,,,,,,,,,
1,Duplo,4.00,3.00,4.00,4.00,2.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,3.00,,,,,,,,,,,
1,KinderBueno,4.00,4.00,5.00,4.00,1.00,5.00,4.00,3.00,3.00,2.00,3.00,4.00,1.00,,,,,,,,,,,
1,KinderRiegel,3.00,3.00,4.00,5.00,3.00,4.00,4.00,5.00,4.00,4.00,4.00,4.00,3.00,,,,,,,,,,,
1,KitKat,4.00,2.00,3.00,4.00,2.00,4.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00,,,,,,,,,,,
1,Lion,3.00,4.00,4.00,4.00,2.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,,,,,,,,,,,
1,Mars,2.00,4.00,4.00,4.00,2.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,3.00,,,,,,,,,,,
1,Snickers,3.00,3.00,4.00,3.00,1.00,4.00,4.00,2.00,4.00,4.00,4.00,4.00,5.00,,,,,,,,,,,
1,Twix,4.00,4.00,4.00,4.00,1.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,,,,,,,,,,,
2,Balisto,4.00,1.00,5.00,2.00,1.00,5.00,5.00,1.00,5.00,5.00,3.00,2.00,3.00,,,,,,,,,,,
2,Bounty,1.00,3.00,5.00,3.00,1.00,5.00,5.00,1.00,5.00,5.00,5.00,2.00,2.00,,,,,,,,,,,
2,Duplo,4.00,3.00,5.00,4.00,1.00,5.00,5.00,1.00,5.00,5.00,3.00,4.00,4.00,,,,,,,,,,,
2,KinderBueno,4.00,4.00,5.00,3.00,1.00,5.00,5.00,1.00,5.00,5.00,4.00,2.00,2.00,,,,,,,,,,,
2,KinderRiegel,1.00,5.00,5.00,4.00,1.00,5.00,5.00,1.00,5.00,5.00,4.00,5.00,5.00,,,,,,,,,,,
2,KitKat,5.00,3.00,5.00,4.00,1.00,5.00,5.00,1.00,5.00,5.00,4.00,2.00,2.00,,,,,,,,,,,
2,Lion,4.00,3.00,5.00,3.00,1.00,5.00,5.00,1.00,5.00,5.00,4.00,4.00,4.00,,,,,,,,,,,
2,Mars,1.00,5.00,5.00,3.00,1.00,5.00,5.00,1.00,5.00,5.00,4.00,3.00,3.00,,,,,,,,,,,
2,Snickers,3.00,4.00,5.00,3.00,1.00,5.00,5.00,1.00,5.00,5.00,4.00,5.00,5.00,,,,,,,,,,,
2,Twix,5.00,2.00,5.00,4.00,1.00,5.00,5.00,1.00,5.00,5.00,5.00,3.00,4.00,,,,,,,,,,,
3,Balisto,4.00,2.00,4.00,4.00,2.00,5.00,3.00,1.00,4.00,4.00,3.00,2.00,3.18,,,,,,,,,,,
3,Bounty,2.00,4.00,5.00,4.00,1.00,5.00,1.00,1.00,4.00,3.00,4.00,2.00,4.00,,,,,,,,,,,
3,Duplo,4.00,2.00,5.00,5.00,1.00,5.00,1.00,4.00,4.00,4.00,4.00,2.00,5.00,,,,,,,,,,,
3,KinderBueno,4.00,5.00,5.00,5.00,1.00,4.00,1.00,4.00,4.00,4.00,4.00,4.00,2.00,,,,,,,,,,,
3,KinderRiegel,2.00,5.00,5.00,5.00,2.00,5.00,1.00,5.00,4.00,4.00,4.00,5.00,5.00,,,,,,,,,,,
3,KitKat,5.00,2.00,5.00,5.00,1.00,5.00,1.00,4.00,4.00,4.00,3.00,2.00,5.00,,,,,,,,,,,
3,Lion,4.00,4.00,4.00,4.00,1.00,5.00,1.00,2.00,4.00,4.00,4.00,1.00,3.21,,,,,,,,,,,
3,Mars,2.00,5.00,5.00,5.00,1.00,5.00,1.00,2.00,4.00,4.00,3.00,3.00,2.00,,,,,,,,,,,
3,Snickers,3.58,3.44,4.45,3.96,1.42,4.60,3.60,2.93,4.35,4.25,3.28,4.39,4.35,,,,,,,,,,,
3,Twix,4.00,4.00,4.00,4.00,1.00,4.00,1.00,2.00,4.00,4.00,2.00,2.00,4.06,,,,,,,,,,,
4,Balisto,4.00,2.00,4.00,4.00,3.00,4.00,4.00,2.00,2.00,3.00,4.00,3.00,2.00,,,,,,,,,,,
4,Bounty,1.00,3.00,4.00,1.00,1.00,3.00,4.00,3.05,3.00,4.00,4.00,2.00,2.00,,,,,,,,,,,
4,Duplo,3.00,2.00,5.00,5.00,2.00,4.00,4.00,5.00,3.00,4.00,4.00,5.00,5.00,,,,,,,,,,,
4,KinderBueno,2.00,4.00,4.00,5.00,2.00,4.00,4.00,5.00,4.00,2.00,3.00,3.00,1.00,,,,,,,,,,,
4,KinderRiegel,1.00,5.00,5.00,5.00,2.00,4.00,4.00,5.00,5.00,5.00,5.00,5.00,3.00,,,,,,,,,,,
4,KitKat,3.00,3.00,5.00,5.00,2.00,4.00,4.00,3.00,4.00,2.00,3.00,4.00,4.00,,,,,,,,,,,
4,Lion,3.00,4.00,5.00,5.00,2.00,5.00,4.00,2.00,3.00,4.00,4.00,2.00,4.00,,,,,,,,,,,
4,Mars,1.00,4.00,4.00,3.00,1.00,4.00,4.00,3.00,4.00,4.00,4.00,4.00,5.00,,,,,,,,,,,
4,Snickers,4.00,4.00,5.00,5.00,1.00,4.00,4.00,3.00,4.00,4.00,4.00,4.00,5.00,,,,,,,,,,,
4,Twix,4.00,2.00,4.00,3.00,1.00,3.00,4.00,2.00,4.00,3.00,4.00,4.00,5.00,,,,,,,,,,,
5,Balisto,5.00,4.00,5.00,5.00,4.00,4.00,5.00,2.00,3.00,5.00,5.00,3.00,3.00,,,,,,,,,,,
5,Bounty,1.98,3.21,4.44,3.44,1.66,4.23,3.53,3.05,4.02,3.96,3.91,3.45,2.90,,,,,,,,,,,
5,Duplo,3.00,5.00,5.00,5.00,3.00,4.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,
5,KinderBueno,5.00,5.00,5.00,5.00,3.00,4.00,5.00,5.00,5.00,5.00,5.00,4.00,4.00,,,,,,,,,,,
5,KinderRiegel,2.00,5.00,5.00,5.00,4.00,4.00,4.00,4.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,
