"","Person","Product","crunchy","creamy","sweet","chocolaty","healthful","calorie","rich","addiction","accessible","handy","wrapping","image","commercial","Gender","Age","Occupation","Marital Status","Children","City","States","Sport","Sport_Num","ChocoFrequency","ChocoFrequency_Num","kmeans"
"1",1,"Balisto",5,2,3,3,3,4,4,3,3,3,2,3,3,"male",27,"I am an employee.","single","0","City","Sachsen-Anhalt","1-3 times a week",3,"once a month",3,1
"2",1,"Bounty",2,4,5,3,2,4,3,3,3,4,4,3,3,"male",27,"I am an employee.","single","0","City","Sachsen-Anhalt","1-3 times a week",3,"once a month",3,1
"3",1,"Duplo",4,3,4,4,2,4,4,4,4,4,4,3,3,"male",27,"I am an employee.","single","0","City","Sachsen-Anhalt","1-3 times a week",3,"once a month",3,1
"4",1,"KinderBueno",4,4,5,4,1,5,4,3,3,2,3,4,1,"male",27,"I am an employee.","single","0","City","Sachsen-Anhalt","1-3 times a week",3,"once a month",3,1
"5",1,"KinderRiegel",3,3,4,5,3,4,4,5,4,4,4,4,3,"male",27,"I am an employee.","single","0","City","Sachsen-Anhalt","1-3 times a week",3,"once a month",3,1
"6",1,"KitKat",4,2,3,4,2,4,3,3,4,4,4,4,4,"male",27,"I am an employee.","single","0","City","Sachsen-Anhalt","1-3 times a week",3,"once a month",3,1
"7",1,"Lion",3,4,4,4,2,4,4,4,4,4,4,4,3,"male",27,"I am an employee.","single","0","City","Sachsen-Anhalt","1-3 times a week",3,"once a month",3,1
"8",1,"Mars",2,4,4,4,2,4,4,4,4,4,4,3,3,"male",27,"I am an employee.","single","0","City","Sachsen-Anhalt","1-3 times a week",3,"once a month",3,1
"9",1,"Snickers",3,3,4,3,1,4,4,2,4,4,4,4,5,"male",27,"I am an employee.","single","0","City","Sachsen-Anhalt","1-3 times a week",3,"once a month",3,1
"10",1,"Twix",4,4,4,4,1,4,4,4,4,4,4,4,4,"male",27,"I am an employee.","single","0","City","Sachsen-Anhalt","1-3 times a week",3,"once a month",3,1
"11",2,"Balisto",4,1,5,2,1,5,5,1,5,5,3,2,3,"female",25,"I am an employee.","single","0","City","Berlin","1-3 times a week",3,"5-7 times per week",6,1
"12",2,"Bounty",1,3,5,3,1,5,5,1,5,5,5,2,2,"female",25,"I am an employee.","single","0","City","Berlin","1-3 times a week",3,"5-7 times per week",6,1
"13",2,"Duplo",4,3,5,4,1,5,5,1,5,5,3,4,4,"female",25,"I am an employee.","single","0","City","Berlin","1-3 times a week",3,"5-7 times per week",6,1
"14",2,"KinderBueno",4,4,5,3,1,5,5,1,5,5,4,2,2,"female",25,"I am an employee.","single","0","City","Berlin","1-3 times a week",3,"5-7 times per week",6,1
"15",2,"KinderRiegel",1,5,5,4,1,5,5,1,5,5,4,5,5,"female",25,"I am an employee.","single","0","City","Berlin","1-3 times a week",3,"5-7 times per week",6,1
