"","Person","crunchy","creamy","sweet","chocolaty","healthful","calorie","rich","addiction","accessible","handy","wrapping","image","commercial","kmeans"
"1",1,3.4,3.3,4,3.8,1.9,4.1,3.8,3.5,3.7,3.7,3.7,3.6,3.2,1
"2",2,3.2,3.3,5,3.3,1,5,5,1,5,5,4,3.2,3.4,1
"3",3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"4",4,2.6,3.3,4.5,4.1,1.7,3.9,4,0,3.6,3.5,3.9,3.6,3.6,1
"5",5,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"6",6,3.7,3.5,4.7,3.7,2,5,3.8,3.4,3.8,4.2,4.1,4.8,4.4,1
"7",7,2.5,3.2,4,3.2,2,4,3.5,0,3.8,0,3.1,3.6,0,2
"8",8,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"9",9,3.3,2.6,3.5,3.2,1,4.6,0,0,2.9,2.5,3.1,3.3,0,2
"10",10,3.3,3.9,4.9,4.4,1,5,4.9,4,3.7,4.3,3.6,3.4,3.5,1
"11",11,3.6,3.4,3.8,3.9,1.3,4,3.9,3.2,4.1,4.1,4.1,3.3,3.3,1
"12",12,3.7,3.6,5,3.7,4.3,4.5,4.2,3.8,4.7,5,5,4.9,4.4,1
"13",13,3.2,3.2,3.7,4,1.4,4,3.5,2.9,4,3.6,3.6,4.4,0,2
"14",14,3.3,3,4.4,3.6,1.6,4.1,3.5,3.6,4.1,3.9,3.1,3.6,3.5,1
"15",15,0,0,0,0,0,0,0,0,4.4,4.1,3.3,4.6,3.3,3
"16",16,3.5,2.9,3.9,3,1,3.9,0,0,0,3.8,0,3.7,3.3,2
"17",17,3.4,3.4,5,4.9,1.1,4.6,4,3.4,3.9,3.8,3.2,3.5,3.7,1
"18",18,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"19",19,3.8,3.7,4.2,3.8,1.2,4.8,1.7,2.3,3,3.2,4.6,4.6,3.7,1
"20",20,0,0,0,0,2,0,0,0,0,0,0,0,0,3
"21",21,3.3,3.2,4.7,4.1,0,4.3,3,3.1,3.5,4.1,3.2,3.7,3.5,1
"22",22,4.1,3.6,4.2,4.1,2,3,3,3.4,3.5,3.2,3.1,3.7,3.1,1
"23",23,3.7,4,4.9,3.9,2.1,4.2,4.4,4,5,4.9,3.4,4.7,4.1,1
"24",24,3.3,3.3,3.9,3.6,1,5,3,2.8,3.8,4,3.8,3.9,3.6,1
"25",25,0,0,0,0,1,0,0,0,0,0,0,0,0,3
"26",26,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"27",27,3.4,3.1,4.8,4.8,1.6,4.9,4.9,3.6,4.2,4.8,3.6,4.8,3.5,1
"28",28,3.7,3.4,4.2,4.1,2.1,4,2.1,2.1,4.9,4,3.8,4.1,4,1
"29",29,3.9,2.6,4.7,4.6,1.1,4.7,0,3.2,4.6,4.9,4.4,4,3.8,1
"30",30,3.5,3.7,5,5,1,5,4.6,4.3,4.3,5,4.2,4,4,1
"31",31,4.2,3.8,5,4.5,1,5,3,3.1,3.7,3.9,3,3.6,3.1,1
"32",32,3.4,2.3,4.9,3.5,1,5,3,3.4,4.9,5,3.1,5,5,1
"33",33,3.4,3,4.1,4.1,1.8,3.7,0,3.4,3.8,4,3.7,3.6,3.6,1
"34",34,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"35",35,3.1,3.5,4.8,3.9,0,5,0,0,0,5,0,0,0,2
"36",36,3.3,3,4.5,3.8,1.1,3.7,3.7,3.3,3.4,3.5,3.2,2.7,2.9,1
"37",37,2.9,3.2,4,4.1,2.5,3.9,3.7,2.8,0,3.6,3.5,3.2,0,2
"38",38,3.8,3.5,5,4.3,0,5,4.2,4,4.9,3.7,3.2,0,0,2
"39",39,3.3,3.4,4.9,4.9,1.6,4.8,3,4,3,4.2,3,4.7,4.9,1
"40",40,3.5,3.5,3.9,3.9,1.1,4.2,3.4,3,3.6,3,3.3,4,4.3,1
"41",41,0,0,0,0,0,0,0,0,0,4.1,0,0,3.6,3
"42",42,3.8,4.3,5,3.8,0,0,3.5,3.7,5,4.4,4.5,4.4,4.7,1
"43",43,0,0,4.9,0,1,5,0,0,0,0,0,0,0,3
"44",44,3.6,3.1,4.6,4.4,1.1,0,4.2,3.6,4.9,4.6,3.3,3,3.2,1
"45",45,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"46",46,3.2,3.1,4.1,3.7,1,5,3.2,3.3,3.2,3.4,3,4.4,4.2,1
"47",47,0,0,4.9,3.8,1,4.8,3.6,0,0,4,3.3,3.9,0,2
"48",48,3.2,2.9,3.9,3.3,1.7,3.9,3.6,3.7,4.1,3.8,3.9,4.1,3.6,1
"49",49,3.8,4.1,5,5,2.3,3.9,4,3.8,4.8,4.5,4.2,4.7,4.7,1
"50",50,3.3,2.7,4.4,3.4,2.2,3.7,3.6,2.6,4.6,3.5,3.1,0,0,2
